
num_trips,average_duration,start_station_id,start_station_name,start_dockcount,end_station_id,end_station_name,end_dockcount,subscribers,customers
2552,519.6539968652025,69,San Francisco Caltrain 2 (330 Townsend),23,63,Howard at 2nd,19,2509,43
2537,479.0496649586132,70,San Francisco Caltrain (Townsend at 4th),19,68,Yerba Buena Center of the Arts (3rd @ Howard),19,2401,136
2531,497.19478467009014,32,Castro Street and El Camino Real,11,28,Mountain View Caltrain Station,23,2385,146
2520,635.4904761904769,51,Embarcadero at Folsom,19,69,San Francisco Caltrain 2 (330 Townsend),23,2438,82
2512,710.1795382165612,69,San Francisco Caltrain 2 (330 Townsend),23,74,Steuart at Market,23,2432,80
2492,413.35513643659726,70,San Francisco Caltrain (Townsend at 4th),19,61,2nd at Townsend,27,2412,80
2482,543.149476228848,77,Market at Sansome,27,61,2nd at Townsend,27,2332,150
2469,841.8351559335753,70,San Francisco Caltrain (Townsend at 4th),19,67,Market at 10th,27,2339,130
2468,475.3914100486217,57,5th at Howard,15,70,San Francisco Caltrain (Townsend at 4th),19,2353,115
2425,397.3505154639177,64,2nd at South Park,15,70,San Francisco Caltrain (Townsend at 4th),19,2379,46
2393,937.0990388633514,82,Broadway St at Battery St,15,70,San Francisco Caltrain (Townsend at 4th),19,2322,71
2364,5981.338832487325,50,Harry Bridges Plaza (Ferry Building),23,50,Harry Bridges Plaza (Ferry Building),23,360,2004
2355,563.792781316348,63,Howard at 2nd,19,69,San Francisco Caltrain 2 (330 Townsend),23,2288,67
2353,518.6485337866559,61,2nd at Townsend,27,70,San Francisco Caltrain (Townsend at 4th),19,2279,74
2350,489.57063829787216,48,Embarcadero at Vallejo,15,74,Steuart at Market,23,2196,154
2317,1268.6132930513575,70,San Francisco Caltrain (Townsend at 4th),19,60,Embarcadero at Sansome,15,1917,400
2307,617.6861725184227,70,San Francisco Caltrain (Townsend at 4th),19,54,Embarcadero at Bryant,15,2197,110
2303,756.3317412071224,69,San Francisco Caltrain 2 (330 Townsend),23,77,Market at Sansome,27,2235,68
2281,604.8535729943015,49,Spear at Folsom,19,70,San Francisco Caltrain (Townsend at 4th),19,2175,106
2266,582.038393645189,28,Mountain View Caltrain Station,23,32,Castro Street and El Camino Real,11,2172,94
2250,1423.0622222222214,54,Embarcadero at Bryant,15,60,Embarcadero at Sansome,15,1571,679
2214,726.8197831978326,77,Market at Sansome,27,50,Harry Bridges Plaza (Ferry Building),23,1752,462
2208,618.218297101448,67,Market at 10th,27,39,Powell Street BART,19,1818,390
2186,624.0960658737409,64,2nd at South Park,15,50,Harry Bridges Plaza (Ferry Building),23,1974,212
2186,767.0155535224148,39,Powell Street BART,19,70,San Francisco Caltrain (Townsend at 4th),19,2033,153
2184,930.5178571428556,65,Townsend at 7th,15,50,Harry Bridges Plaza (Ferry Building),23,2011,173
2178,820.2713498622613,70,San Francisco Caltrain (Townsend at 4th),19,39,Powell Street BART,19,1967,211
2133,501.6460384435071,61,2nd at Townsend,27,55,Temporary Transbay Terminal (Howard at Beale),23,2080,53
2125,858.7750588235302,70,San Francisco Caltrain (Townsend at 4th),19,56,Beale at Market,19,2072,53
2123,862.0447479981151,55,Temporary Transbay Terminal (Howard at Beale),23,65,Townsend at 7th,15,2083,40
2102,666.462416745956,54,Embarcadero at Bryant,15,50,Harry Bridges Plaza (Ferry Building),23,1696,406
2080,435.4230769230764,55,Temporary Transbay Terminal (Howard at Beale),23,57,5th at Howard,15,2007,73
2043,527.2648066568755,74,Steuart at Market,23,54,Embarcadero at Bryant,15,1888,155
2023,1255.4705882352941,60,Embarcadero at Sansome,15,70,San Francisco Caltrain (Townsend at 4th),19,1595,428
1953,734.5529953917054,77,Market at Sansome,27,69,San Francisco Caltrain 2 (330 Townsend),23,1875,78
1931,583.6198860693949,51,Embarcadero at Folsom,19,61,2nd at Townsend,27,1682,249
1914,988.8861024033448,50,Harry Bridges Plaza (Ferry Building),23,69,San Francisco Caltrain 2 (330 Townsend),23,1772,142
1905,937.926509186352,70,San Francisco Caltrain (Townsend at 4th),19,41,Clay at Battery,15,1857,48
1869,457.69127875869515,70,San Francisco Caltrain (Townsend at 4th),19,57,5th at Howard,15,1727,142
1858,1013.5575888051668,50,Harry Bridges Plaza (Ferry Building),23,65,Townsend at 7th,15,1733,125
1854,481.9827400215741,56,Beale at Market,19,82,Broadway St at Battery St,15,1828,26
1851,995.2366288492691,65,Townsend at 7th,15,55,Temporary Transbay Terminal (Howard at Beale),23,1812,39
1834,820.1810250817881,60,Embarcadero at Sansome,15,55,Temporary Transbay Terminal (Howard at Beale),23,1725,109
1833,1797.7463175122746,50,Harry Bridges Plaza (Ferry Building),23,48,Embarcadero at Vallejo,15,965,868
1828,840.6646608315097,75,Mechanics Plaza (Market at Battery),19,70,San Francisco Caltrain (Townsend at 4th),19,1761,67
1824,668.0723684210532,70,San Francisco Caltrain (Townsend at 4th),19,49,Spear at Folsom,19,1758,66
1819,758.5101704233107,66,South Van Ness at Market,19,69,San Francisco Caltrain 2 (330 Townsend),23,1750,69
1804,1474.9578713968995,77,Market at Sansome,27,60,Embarcadero at Sansome,15,1168,636
1794,1063.1488294314358,70,San Francisco Caltrain (Townsend at 4th),19,48,Embarcadero at Vallejo,15,1663,131
1782,474.9410774410772,70,San Francisco Caltrain (Townsend at 4th),19,62,2nd at Folsom,19,1693,89
1770,881.6158192090389,45,Commercial at Montgomery,15,70,San Francisco Caltrain (Townsend at 4th),19,1690,80
1739,632.5675675675664,74,Steuart at Market,23,48,Embarcadero at Vallejo,15,1533,206
1729,706.3927125506082,50,Harry Bridges Plaza (Ferry Building),23,54,Embarcadero at Bryant,15,1453,276
1691,897.8929627439387,56,Beale at Market,19,60,Embarcadero at Sansome,15,1373,318
1676,609.9612171837712,76,Market at 4th,19,55,Temporary Transbay Terminal (Howard at Beale),23,1631,45
1676,472.11873508353216,2,San Jose Diridon Caltrain Station,27,6,San Pedro Square,15,1598,78
1661,457.3570138470799,49,Spear at Folsom,19,61,2nd at Townsend,27,1571,90
1661,369.7784467188441,29,San Antonio Caltrain Station,23,31,San Antonio Shopping Center,15,1590,71
1656,530.4999999999999,61,2nd at Townsend,27,65,Townsend at 7th,15,1547,109
1655,440.34199395770383,55,Temporary Transbay Terminal (Howard at Beale),23,45,Commercial at Montgomery,15,1637,18
1653,430.1935874168185,31,San Antonio Shopping Center,15,29,San Antonio Caltrain Station,23,1610,43
1651,694.3646274984852,50,Harry Bridges Plaza (Ferry Building),23,64,2nd at South Park,15,1498,153
1649,574.2868405093993,54,Embarcadero at Bryant,15,74,Steuart at Market,23,1512,137
1641,469.3083485679458,62,2nd at Folsom,19,50,Harry Bridges Plaza (Ferry Building),23,1523,118
1637,2274.0122174709836,48,Embarcadero at Vallejo,15,60,Embarcadero at Sansome,15,292,1345
1632,900.6605392156861,54,Embarcadero at Bryant,15,48,Embarcadero at Vallejo,15,1354,278
1619,654.591105620754,56,Beale at Market,19,61,2nd at Townsend,27,1528,91
1619,644.2742433600987,60,Embarcadero at Sansome,15,56,Beale at Market,19,1374,245
1617,547.1873840445263,76,Market at 4th,19,69,San Francisco Caltrain 2 (330 Townsend),23,1518,99
1615,742.078637770898,56,Beale at Market,19,69,San Francisco Caltrain 2 (330 Townsend),23,1575,40
1608,607.3681592039792,73,Grant Avenue at Columbus Avenue,19,51,Embarcadero at Folsom,19,1573,35
1604,435.47880299251847,68,Yerba Buena Center of the Arts (3rd @ Howard),19,69,San Francisco Caltrain 2 (330 Townsend),23,1548,56
1604,1114.8216957605975,60,Embarcadero at Sansome,15,61,2nd at Townsend,27,1021,583
1574,856.6575603557815,70,San Francisco Caltrain (Townsend at 4th),19,75,Mechanics Plaza (Market at Battery),19,1525,49
1571,387.7447485677912,61,2nd at Townsend,27,63,Howard at 2nd,19,1498,73
1568,442.68686224489835,6,San Pedro Square,15,2,San Jose Diridon Caltrain Station,27,1504,64
1566,1058.2733077905502,73,Grant Avenue at Columbus Avenue,19,70,San Francisco Caltrain (Townsend at 4th),19,1429,137
1550,188.14645161290343,56,Beale at Market,19,55,Temporary Transbay Terminal (Howard at Beale),23,1533,17
1536,562.5865885416665,55,Temporary Transbay Terminal (Howard at Beale),23,76,Market at 4th,19,1467,69
1527,475.2809430255407,64,2nd at South Park,15,69,San Francisco Caltrain 2 (330 Townsend),23,1485,42
1515,885.515511551156,39,Powell Street BART,19,66,South Van Ness at Market,19,1141,374
1514,763.7239101717299,67,Market at 10th,27,77,Market at Sansome,27,1335,179
1513,959.8175809649708,70,San Francisco Caltrain (Townsend at 4th),19,82,Broadway St at Battery St,15,1458,55
1470,385.1319727891155,82,Broadway St at Battery St,15,74,Steuart at Market,23,1436,34
1469,951.9196732471065,74,Steuart at Market,23,65,Townsend at 7th,15,1393,76
1469,541.6051735874744,61,2nd at Townsend,27,51,Embarcadero at Folsom,19,1356,113
1461,769.7446954141006,50,Harry Bridges Plaza (Ferry Building),23,77,Market at Sansome,27,1251,210
1456,554.643543956044,65,Townsend at 7th,15,61,2nd at Townsend,27,1316,140
1450,919.3682758620688,51,Embarcadero at Folsom,19,60,Embarcadero at Sansome,15,1079,371
1447,498.1879751209405,55,Temporary Transbay Terminal (Howard at Beale),23,82,Broadway St at Battery St,15,1438,9
1445,683.6041522491349,66,South Van Ness at Market,19,72,Civic Center BART (7th at Market),23,1360,85
1445,355.8221453287196,62,2nd at Folsom,19,61,2nd at Townsend,27,1355,90
1444,1127.0401662049867,48,Embarcadero at Vallejo,15,70,San Francisco Caltrain (Townsend at 4th),19,1257,187
1443,752.0796950796959,70,San Francisco Caltrain (Townsend at 4th),19,76,Market at 4th,19,1300,143
1438,636.2447844228091,60,Embarcadero at Sansome,15,51,Embarcadero at Folsom,19,1126,312
1437,406.7724425887265,82,Broadway St at Battery St,15,56,Beale at Market,19,1425,12
1431,695.7840670859546,42,Davis at Jackson,15,60,Embarcadero at Sansome,15,1200,231
1430,1177.1811188811196,76,Market at 4th,19,50,Harry Bridges Plaza (Ferry Building),23,817,613
1425,812.124912280701,66,South Van Ness at Market,19,77,Market at Sansome,27,1340,85
1410,571.2602836879431,62,2nd at Folsom,19,69,San Francisco Caltrain 2 (330 Townsend),23,1355,55
1409,562.5124201561396,66,South Van Ness at Market,19,39,Powell Street BART,19,1205,204
1400,482.67285714285674,45,Commercial at Montgomery,15,77,Market at Sansome,27,1364,36
1398,551.0429184549353,30,Evelyn Park and Ride,15,28,Mountain View Caltrain Station,23,1300,98
1397,704.3035075161048,55,Temporary Transbay Terminal (Howard at Beale),23,60,Embarcadero at Sansome,15,1310,87
1397,527.4180386542596,2,San Jose Diridon Caltrain Station,27,7,Paseo de San Antonio,15,1357,40
1391,497.10999281092757,57,5th at Howard,15,55,Temporary Transbay Terminal (Howard at Beale),23,1352,39
1385,392.2447653429603,77,Market at Sansome,27,62,2nd at Folsom,19,1354,31
1374,1171.8427947598261,60,Embarcadero at Sansome,15,77,Market at Sansome,27,954,420
1372,436.31851311953375,70,San Francisco Caltrain (Townsend at 4th),19,64,2nd at South Park,15,1319,53
1343,779.9270290394633,39,Powell Street BART,19,65,Townsend at 7th,15,1227,116
1342,1539.9821162444105,61,2nd at Townsend,27,60,Embarcadero at Sansome,15,796,546
1311,459.06025934401237,64,2nd at South Park,15,63,Howard at 2nd,19,1265,46
1308,647.3623853211019,60,Embarcadero at Sansome,15,41,Clay at Battery,15,999,309
1306,593.3231240428798,67,Market at 10th,27,65,Townsend at 7th,15,1220,86
1303,568.1611665387572,69,San Francisco Caltrain 2 (330 Townsend),23,68,Yerba Buena Center of the Arts (3rd @ Howard),19,1250,53
1300,2482.4100000000008,76,Market at 4th,19,60,Embarcadero at Sansome,15,530,770
1293,300.35962877030164,63,Howard at 2nd,19,64,2nd at South Park,15,1232,61
1290,369.76744186046494,51,Embarcadero at Folsom,19,54,Embarcadero at Bryant,15,1202,88
1285,769.9424124513614,37,Cowper at University,11,34,Palo Alto Caltrain Station,23,1219,66
1285,761.4677042801557,66,South Van Ness at Market,19,70,San Francisco Caltrain (Townsend at 4th),19,1225,60
1285,414.1284046692604,45,Commercial at Montgomery,15,55,Temporary Transbay Terminal (Howard at Beale),23,1267,18
1281,654.0624512099919,77,Market at Sansome,27,73,Grant Avenue at Columbus Avenue,19,1168,113
1276,633.2084639498419,49,Spear at Folsom,19,69,San Francisco Caltrain 2 (330 Townsend),23,1240,36
1272,1604.9386792452856,60,Embarcadero at Sansome,15,76,Market at 4th,19,571,701
1260,566.7952380952373,55,Temporary Transbay Terminal (Howard at Beale),23,48,Embarcadero at Vallejo,15,1227,33
1252,496.8841853035149,54,Embarcadero at Bryant,15,51,Embarcadero at Folsom,19,1169,83
1246,680.3418940609943,63,Howard at 2nd,19,61,2nd at Townsend,27,1176,70
1233,695.394160583941,72,Civic Center BART (7th at Market),23,66,South Van Ness at Market,19,1056,177
1231,1086.1145410235586,75,Mechanics Plaza (Market at Battery),19,76,Market at 4th,19,1033,198
1230,595.238211382114,50,Harry Bridges Plaza (Ferry Building),23,63,Howard at 2nd,19,1136,94
1229,466.53946297803094,64,2nd at South Park,15,55,Temporary Transbay Terminal (Howard at Beale),23,1211,18
1229,455.1261187957685,55,Temporary Transbay Terminal (Howard at Beale),23,64,2nd at South Park,15,1205,24
1226,719.9168026101147,67,Market at 10th,27,72,Civic Center BART (7th at Market),23,1137,89
1216,1110.1249999999998,60,Embarcadero at Sansome,15,54,Embarcadero at Bryant,15,801,415
1215,333.87325102880664,61,2nd at Townsend,27,62,2nd at Folsom,19,1152,63
1202,671.9392678868549,47,Post at Kearny,19,70,San Francisco Caltrain (Townsend at 4th),19,1152,50
1200,699.575,66,South Van Ness at Market,19,76,Market at 4th,19,985,215
1199,994.3327773144283,60,Embarcadero at Sansome,15,75,Mechanics Plaza (Market at Battery),19,768,431
1195,699.9338912133896,34,Palo Alto Caltrain Station,23,37,Cowper at University,11,1117,78
1187,812.7127211457453,72,Civic Center BART (7th at Market),23,76,Market at 4th,19,957,230
1184,8485.947635135131,35,University and Emerson,11,35,University and Emerson,11,71,1113
1181,846.6782387806949,71,Powell at Post (Union Square),19,70,San Francisco Caltrain (Townsend at 4th),19,1044,137
1179,540.643765903308,73,Grant Avenue at Columbus Avenue,19,55,Temporary Transbay Terminal (Howard at Beale),23,1160,19
1179,645.6284987277346,65,Townsend at 7th,15,66,South Van Ness at Market,19,1128,51
1173,517.8167092924116,61,2nd at Townsend,27,49,Spear at Folsom,19,1103,70
1161,775.3919035314394,73,Grant Avenue at Columbus Avenue,19,76,Market at 4th,19,930,231
1157,918.3448573898003,69,San Francisco Caltrain 2 (330 Townsend),23,66,South Van Ness at Market,19,1101,56
1156,1066.7984429065764,70,San Francisco Caltrain (Townsend at 4th),19,66,South Van Ness at Market,19,1055,101
1156,278.5207612456746,61,2nd at Townsend,27,69,San Francisco Caltrain 2 (330 Townsend),23,1121,35
